"Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","SlowK","SlowD","OverBot","OverSld"
03/01/2018,22:00,178.54,179.78,172.66,175.00,48801970,0,177.20,168.01,88.78,93.35,80.00,20.00
03/02/2018,22:00,172.80,176.30,172.45,176.21,38453950,0,177.34,168.43,85.06,89.42,80.00,20.00
03/05/2018,22:00,175.21,177.74,174.52,176.82,28401366,0,176.91,169.24,80.91,84.92,80.00,20.00
03/06/2018,22:00,177.91,178.25,176.13,176.67,23788506,0,176.56,170.25,79.67,81.88,80.00,20.00
03/07/2018,22:00,174.94,175.85,174.27,175.03,31703462,0,175.95,170.85,72.40,77.66,80.00,20.00
03/08/2018,22:00,175.48,177.12,175.07,176.94,23774107,0,176.33,171.72,66.08,72.72,80.00,20.00
03/09/2018,22:00,177.96,180.00,177.39,179.98,32185162,0,177.09,172.96,67.87,68.78,80.00,20.00
03/12/2018,22:00,180.29,182.39,180.21,181.72,32207081,0,178.07,174.23,83.69,72.55,80.00,20.00
03/13/2018,22:00,182.59,183.50,179.24,179.97,31693529,0,178.73,175.09,85.23,78.93,80.00,20.00
03/14/2018,22:00,180.32,180.52,177.81,178.44,29368356,0,179.41,175.80,72.94,80.62,80.00,20.00
03/15/2018,22:00,178.50,180.24,178.07,178.65,22743798,0,179.75,176.36,60.34,72.84,80.00,20.00
03/16/2018,22:00,178.65,179.12,177.62,178.02,39404688,0,179.36,176.61,53.57,62.29,80.00,20.00
03/19/2018,22:00,177.32,177.47,173.66,175.30,33446771,0,178.08,176.76,44.10,52.67,80.00,20.00
03/20/2018,22:00,175.24,176.80,174.94,175.24,19649350,0,177.13,176.93,33.82,43.83,80.00,20.00
03/21/2018,22:00,175.04,175.09,171.26,171.27,37054935,0,175.70,176.94,16.45,31.46,80.00,20.00
03/22/2018,22:00,170.00,172.68,168.60,168.85,41490767,0,173.74,176.75,7.99,19.42,80.00,20.00
03/23/2018,22:00,168.39,169.92,164.94,164.94,41028784,0,171.12,176.23,0.57,8.34,80.00,20.00
03/26/2018,22:00,168.07,173.10,166.44,172.77,37541236,0,170.61,175.92,15.53,8.03,80.00,20.00
03/27/2018,22:00,173.68,175.15,166.92,168.34,40922579,0,169.23,175.41,20.17,12.09,80.00,20.00
03/28/2018,22:00,167.25,170.02,165.19,166.48,41668545,0,168.28,174.83,22.93,19.55,80.00,20.00
03/29/2018,22:00,167.81,171.75,166.90,167.78,38398505,0,168.06,174.47,13.97,19.03,80.00,20.00
04/02/2018,22:00,167.88,168.94,164.47,166.68,37586791,0,168.41,173.99,11.74,16.21,80.00,20.00
04/03/2018,22:00,167.64,168.75,164.88,168.39,30278046,0,167.53,173.57,16.72,14.14,80.00,20.00
